company,employment_type,schedule_type,min_salary,max_salary,currency,city,min_experience,max_experience,clean_key_skills,clean_title
iq-solutions,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['data centre', ' netapp', ' emc/dell', ' hp 3par', ' eva', ' msa', ' tape libraries', ' windows server 2008', ' windows server 2012', ' server rooms', ' itsm', ' incident management', ' asset management', ' request management', ' business continuity management', ' disaster recovery', ' opentext', ' tcp/ip', ' iso 270001/2', ' cobit', ' itil', ' iso 9001', ' английский язык', ' cdcp', ' английский — b2 — средне-продвинутый']",data centre infrastructure services engineer onsite
murano software,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,['английский — c1 — продвинуть'],senior site reliability engineer big data
iq-solutions,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['data centre', ' netapp', ' emc/dell', ' hp 3par', ' eva', ' msa', ' tape libraries', ' windows server 2008', ' windows server 2012', ' server rooms', ' itsm', ' incident management', ' asset management', ' request management', ' business continuity management', ' disaster recovery', ' opentext', ' tcp/ip', ' iso 270001/2', ' cobit', ' itil', ' iso 9001', ' английский язык', ' cdcp', ' английский — b2 — средне-продвинутый']",data centre infrastructure services engineer onsite
авара ай ти казахстан,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['sql', ' postgresql', ' azure synapse', ' azure data factory', ' azure spark', ' azure databricks', ' azure db`s', ' azure function', ' python', ' hadoop', ' etl', ' elt', ' datalake', ' deltalake', ' dwh', ' cистемы управления базами дать', ' базы дать', ' spark', ' работа с базами дать', ' моделирование', ' умение работать с клиент']",sr. azure data architect \ sr. azure data engineer
murano software,full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,['английский — c1 — продвинуть'],senior site reliability engineer big data
pepsico,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['azure', ' sql', ' airflow', ' kubernetes', ' docker', ' rdbms', ' python', ' data engineer', ' ecomm', ' databases', ' английский — b2 — средне-продвинутый']",ecommerce data engineer
"velvetech, llc",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['spark', ' kafka', ' nosql', ' sql', ' snowflake', ' mongodb', ' azure sql', ' olap and oltp', ' etl', ' английский — b2 — средне-продвинутый']",database developer
"velvetech, llc",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['spark', ' kafka', ' nosql', ' sql', ' snowflake', ' mongodb', ' azure sql', ' olap and oltp', ' etl', ' английский — b2 — средне-продвинутый']",database developer
"velvetech, llc",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['spark', ' kafka', ' nosql', ' sql', ' snowflake', ' mongodb', ' azure sql', ' olap and oltp', ' etl', ' английский — b2 — средне-продвинутый']",database developer
"ннотех, группа компаний",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['dwh', ' sql', ' postgresql', ' pl/sql', ' etl', ' работа с базами данных', ' data lakes']",разработчик команда убп big data
"ннотех, группа компаний",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['dwh', ' sql', ' postgresql', ' pl/sql', ' etl', ' работа с базами данных', ' data lakes']",разработчик команда убп big data
pepsico,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['azure', ' sql', ' airflow', ' kubernetes', ' docker', ' rdbms', ' python', ' data engineer', ' ecomm', ' databases', ' английский — b2 — средне-продвинутый']",ecommerce data engineer
datago!,full time, remote work,100000.0,250000.0,rub,not specified,1,3.0,"['python', ' asyncio', ' aiohttp', ' fastapi', ' panda', ' numpy', ' clickhouse', ' postgresql', ' google bigquery', ' celery', ' nginx', ' pytest', ' airflow']",python backend developer / data engineer
цифромед,full time,not specified,175000.0,300000.0,rub,москва,3,6.0,"['python', ' postgresql', ' java', ' sql', ' bpmn', ' r', ' c++', ' nosql', ' etl', ' apache spark', ' hadoop', ' airflow', ' data analysis', ' data mining', ' unidata', ' bigdata', ' ai', ' datamart']",data engineer backend
"velvetech, llc",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['spark', ' kafka', ' nosql', ' sql', ' snowflake', ' mongodb', ' azure sql', ' olap and oltp', ' etl', ' английский — b2 — средне-продвинутый']",database developer
"velvetech, llc",full time,not specified,175000.0,300000.0,rub,not specified,3,6.0,"['spark', ' kafka', ' nosql', ' sql', ' snowflake', ' mongodb', ' azure sql', ' olap and oltp', ' etl', ' английский — b2 — средне-продвинутый']",database developer
americor funding inc,full time,not specified,230000.0,300000.0,rub,рвайн,3,6.0,"['sql', ' python', ' tableau', ' анализ дать', ' английский язык', ' визуализация дать', ' английский — c1 — продвинуть']",data analyst
ок софт,full time,not specified,150000.0,150000.0,rub,москва,1,3.0,"['sql', ' postgresql', ' power bi', ' аналитическое мышление', ' анализ дать', ' математическая статистика', ' системное мышление', ' python', ' английский — b2 — средне-продвинуть']",data analyst
профитсайз,full time,not specified,150000.0,150000.0,rub,город лимасол,1,3.0,"['python', ' sql', ' data analysis', ' английский — b2 — средне-продвинуть']",junior data analyst
фрифлекс,full time, remote work,160000.0,200000.0,rub,москва,3,6.0,"['a/b тест', ' product development', ' unit-экономика', ' sql', ' scrum', ' статистический анализ', ' scipy', ' статистика', ' анализ дать', ' pandas', ' tableau', ' mathematical statistics', ' математическая статистика', ' базы дать', ' bi', ' powerbi', ' python', ' git', ' business intelligence', ' power bi', ' data analysis', ' postgresql', ' анализ поведения пользователь']",аналитик данных / data analyst / bi-аналитик
щербин алексей сергеевич,full time, remote work,40000.0,60000.0,rub,not specified,0,0.0,"['английский язык', ' аналитический склад ум', ' анализ дать', ' работа с большим объемом информация', ' математическая статистика', ' подготовка презентация', ' математический анализ', ' английский — b2 — средне-продвинуть']",аналитик данных / data analyst junior
